Id	Degree	Density	EffSize	Constraint	rConstraint	Hierarchy	EgoBetween
         0	     21.000	      0.843	      4.143	      0.181	     -0.181	      0.010	     11.094
         1	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
         2	     11.000	      0.582	      5.182	      0.300	     -0.300	      0.033	     26.933
         3	     19.000	      0.889	      3.000	      0.200	     -0.200	      0.005	      3.061
         4	      6.000	      0.867	      1.667	      0.551	     -0.551	      0.012	      1.000
         5	     38.000	      0.716	     11.526	      0.104	     -0.104	      0.018	     39.242
         6	     12.000	      0.864	      2.500	      0.304	     -0.304	      0.006	      2.646
         7	     37.000	      0.700	     11.811	      0.106	     -0.106	      0.017	     71.940
         8	     70.000	      0.440	     39.657	      0.061	     -0.061	      0.055	    390.365
         9	     13.000	      0.333	      9.000	      0.244	     -0.244	      0.019	     80.500
        10	      5.000	      0.600	      2.600	      0.599	     -0.599	      0.078	      3.667
        11	     20.000	      0.811	      4.600	      0.189	     -0.189	      0.011	     15.354
        12	      6.000	      0.533	      3.333	      0.500	     -0.500	      0.021	      8.667
        13	     11.000	      0.982	      1.182	      0.331	     -0.331	      0.000	      0.200
        14	     79.000	      0.361	     50.873	      0.055	     -0.055	      0.068	    817.295
        15	     48.000	      0.624	     18.667	      0.083	     -0.083	      0.025	    156.056
        16	     34.000	      0.791	      7.882	      0.115	     -0.115	      0.012	     20.603
        17	      2.000	      1.000	      1.000	      1.125	     -1.125	      0.000	      0.000
        18	     65.000	      0.466	     35.185	      0.064	     -0.064	      0.053	    435.816
        19	     29.000	      0.820	      6.034	      0.134	     -0.134	      0.010	     14.851
        20	      3.000	      1.000	      1.000	      0.926	     -0.926	      0.000	      0.000
        21	     10.000	      0.844	      2.400	      0.356	     -0.356	      0.015	      4.667
        22	      3.000	      1.000	      1.000	      0.926	     -0.926	      0.000	      0.000
        23	     15.000	      0.990	      1.133	      0.249	     -0.249	      0.000	      0.143
        24	     58.000	      0.552	     26.552	      0.071	     -0.071	      0.037	    151.198
        25	     15.000	      0.905	      2.333	      0.249	     -0.249	      0.006	      3.221
        26	     51.000	      0.548	     23.588	      0.080	     -0.080	      0.036	    187.709
        27	      3.000	      1.000	      1.000	      0.926	     -0.926	      0.000	      0.000
        28	     22.000	      0.983	      1.364	      0.174	     -0.174	      0.000	      0.400
        29	     11.000	      0.927	      1.727	      0.330	     -0.330	      0.003	      1.008
        30	      3.000	      0.667	      1.667	      0.840	     -0.840	      0.074	      1.000
        31	     29.000	      0.938	      2.724	      0.133	     -0.133	      0.001	      2.405
        32	     36.000	      0.786	      8.500	      0.109	     -0.109	      0.011	     33.684
        33	     25.000	      0.930	      2.680	      0.154	     -0.154	      0.002	      2.235
        34	     56.000	      0.540	     26.286	      0.074	     -0.074	      0.038	    182.397
        35	     10.000	      1.000	      1.000	      0.361	     -0.361	      0.000	      0.000
        36	     38.000	      0.673	     13.105	      0.104	     -0.104	      0.023	     64.218
        37	     41.000	      0.755	     10.805	      0.097	     -0.097	      0.013	     25.754
        38	     18.000	      0.732	      5.556	      0.210	     -0.210	      0.023	     17.003
        39	     10.000	      0.867	      2.200	      0.359	     -0.359	      0.010	      1.905
        40	     54.000	      0.609	     21.741	      0.076	     -0.076	      0.028	     89.219
        41	     50.000	      0.669	     17.240	      0.080	     -0.080	      0.019	     53.061
        42	      3.000	      1.000	      1.000	      0.926	     -0.926	      0.000	      0.000
        43	     60.000	      0.520	     29.300	      0.069	     -0.069	      0.041	    212.908
        44	     32.000	      0.829	      6.313	      0.122	     -0.122	      0.008	     11.414
        45	     22.000	      0.853	      4.091	      0.174	     -0.174	      0.007	      6.273
        46	     34.000	      0.783	      8.176	      0.115	     -0.115	      0.013	     22.528
        47	     19.000	      0.655	      7.211	      0.192	     -0.192	      0.007	     62.808
        48	      9.000	      0.944	      1.444	      0.395	     -0.395	      0.002	      0.571
        49	     44.000	      0.531	     21.182	      0.090	     -0.090	      0.035	    243.164
        50	      9.000	      0.694	      3.444	      0.380	     -0.380	      0.013	      9.200
        51	      4.000	      0.667	      2.000	      0.704	     -0.704	      0.057	      2.000
        52	      9.000	      0.444	      5.444	      0.335	     -0.335	      0.036	     25.333
        53	     12.000	      0.970	      1.333	      0.306	     -0.306	      0.001	      0.400
        54	      3.000	      1.000	      1.000	      0.926	     -0.926	      0.000	      0.000
        55	      3.000	      0.667	      1.667	      0.840	     -0.840	      0.074	      1.000
        56	     16.000	      0.550	      7.750	      0.225	     -0.225	      0.025	     37.055
        57	     61.000	      0.531	     29.164	      0.068	     -0.068	      0.041	    197.917
        58	     17.000	      0.529	      8.529	      0.212	     -0.212	      0.029	     59.578
        59	      6.000	      0.867	      1.667	      0.549	     -0.549	      0.004	      0.800
        60	     12.000	      0.864	      2.500	      0.304	     -0.304	      0.006	      2.698
        61	     32.000	      0.762	      8.375	      0.123	     -0.123	      0.015	     21.757
        62	      6.000	      0.867	      1.667	      0.551	     -0.551	      0.012	      1.000
        63	      5.000	      1.000	      1.000	      0.648	     -0.648	      0.000	      0.000
        64	     12.000	      0.985	      1.167	      0.306	     -0.306	      0.000	      0.182
        65	     71.000	      0.422	     41.451	      0.060	     -0.060	      0.055	    493.529
        66	      4.000	      1.000	      1.000	      0.766	     -0.766	      0.000	      0.000
        67	     66.000	      0.464	     35.848	      0.063	     -0.063	      0.054	    472.328
        68	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
        69	     15.000	      0.533	      7.533	      0.236	     -0.236	      0.024	     43.506
        70	     39.000	      0.657	     14.026	      0.100	     -0.100	      0.020	    124.489
        71	     63.000	      0.503	     31.825	      0.067	     -0.067	      0.044	    195.258
        72	     35.000	      0.506	     17.800	      0.110	     -0.110	      0.028	    201.352
        73	     68.000	      0.452	     37.706	      0.062	     -0.062	      0.057	    477.248
        74	     35.000	      0.813	      7.343	      0.112	     -0.112	      0.009	     18.884
        75	     35.000	      0.771	      8.771	      0.112	     -0.112	      0.011	     21.625
        76	     48.000	      0.668	     16.625	      0.084	     -0.084	      0.021	     62.520
        77	      6.000	      0.400	      4.000	      0.454	     -0.454	      0.016	     16.667
        78	      0.000	      0.000	      0.000	      0.000	      0.000	9.9999996803E037	      0.000
        79	      8.000	      0.929	      1.500	      0.437	     -0.437	      0.004	      0.667
        80	     30.000	      0.745	      8.400	      0.131	     -0.131	      0.018	     21.880
        81	     18.000	      0.810	      4.222	      0.208	     -0.208	      0.016	     18.903
        82	      0.000	      0.000	      0.000	      0.000	      0.000	9.9999996803E037	      0.000
        83	      2.000	      1.000	      1.000	      1.125	     -1.125	      0.000	      0.000
        84	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
        85	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
        86	     42.000	      0.726	     12.238	      0.095	     -0.095	      0.017	     38.003
        87	     60.000	      0.516	     29.567	      0.068	     -0.068	      0.038	    295.571
        88	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
        89	     66.000	      0.465	     35.758	      0.063	     -0.063	      0.049	    426.511
        90	     37.000	      0.806	      7.973	      0.106	     -0.106	      0.010	     16.656
        91	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	      0.000
        92	      5.000	      0.500	      3.000	      0.554	     -0.554	      0.022	      7.000
        93	     38.000	      0.767	      9.632	      0.103	     -0.103	      0.010	     32.563
        94	     14.000	      0.989	      1.143	      0.266	     -0.266	      0.000	      0.154
        95	     33.000	      0.777	      8.152	      0.119	     -0.119	      0.014	     17.668
        96	     32.000	      0.821	      6.563	      0.119	     -0.119	      0.009	     70.755
        97	     38.000	      0.751	     10.211	      0.104	     -0.104	      0.015	     37.361
