Id	Degree	Density	EffSize	Constraint	rConstraint	Hierarchy	EgoBetween
         0	     21.000	      0.843	      4.143	      0.088	     -0.088	      0.005	13.8288510110479
         1	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
         2	     11.000	      0.582	      5.182	      0.126	     -0.126	      0.006	216.419896477791
         3	     19.000	      0.889	      3.000	      0.093	     -0.093	      0.002	2.32241137593492
         4	      6.000	      0.867	      1.667	      0.201	     -0.201	      0.001	0.228758169934641
         5	     38.000	      0.716	     11.526	      0.072	     -0.072	      0.014	49.1062314899925
         6	     12.000	      0.864	      2.500	      0.120	     -0.120	      0.002	1.28606343246518
         7	     37.000	      0.700	     11.811	      0.073	     -0.073	      0.014	106.797427268504
         8	     70.000	      0.440	     39.657	      0.057	     -0.057	      0.053	549.835707746633
         9	     13.000	      0.333	      9.000	      0.115	     -0.115	      0.014	145.64127697147
        10	      5.000	      0.600	      2.600	      0.341	     -0.341	      0.023	2.84062348941381
        11	     20.000	      0.811	      4.600	      0.091	     -0.091	      0.007	30.2045622105449
        12	      6.000	      0.533	      3.333	      0.234	     -0.234	      0.012	17.6546951976603
        13	     11.000	      0.982	      1.182	      0.126	     -0.126	      0.000	0.19047619047619
        14	     79.000	      0.361	     50.873	      0.053	     -0.053	      0.067	1105.20040545802
        15	     48.000	      0.624	     18.667	      0.065	     -0.065	      0.020	230.063643021543
        16	     34.000	      0.791	      7.882	      0.077	     -0.077	      0.009	25.7435020129387
        17	      2.000	      1.000	      1.000	      0.574	     -0.574	      0.000	0
        18	     65.000	      0.466	     35.185	      0.059	     -0.059	      0.050	588.381778569102
        19	     29.000	      0.820	      6.034	      0.081	     -0.081	      0.007	15.0474713676948
        20	      3.000	      1.000	      1.000	      0.368	     -0.368	      0.000	0
        21	     10.000	      0.844	      2.400	      0.136	     -0.136	      0.005	4.87049424005946
        22	      3.000	      1.000	      1.000	      0.353	     -0.353	      0.000	0
        23	     15.000	      0.990	      1.133	      0.105	     -0.105	      0.000	0.0740740740740741
        24	     58.000	      0.552	     26.552	      0.065	     -0.065	      0.036	177.940125340917
        25	     15.000	      0.905	      2.333	      0.103	     -0.103	      0.002	2.83900432900433
        26	     51.000	      0.548	     23.588	      0.063	     -0.063	      0.031	236.415352830486
        27	      3.000	      1.000	      1.000	      0.356	     -0.356	      0.000	0
        28	     22.000	      0.983	      1.364	      0.089	     -0.089	      0.000	0.283251231527094
        29	     11.000	      0.927	      1.727	      0.128	     -0.128	      0.001	0.41137760089373
        30	      3.000	      0.667	      1.667	      0.415	     -0.415	      0.020	1.23911930363543
        31	     29.000	      0.938	      2.724	      0.083	     -0.083	      0.001	2.77696917059785
        32	     36.000	      0.786	      8.500	      0.075	     -0.075	      0.009	49.5881463927879
        33	     25.000	      0.930	      2.680	      0.086	     -0.086	      0.001	2.08838570075106
        34	     56.000	      0.540	     26.286	      0.062	     -0.062	      0.034	253.05803545135
        35	     10.000	      1.000	      1.000	      0.129	     -0.129	      0.000	0
        36	     38.000	      0.673	     13.105	      0.069	     -0.069	      0.015	96.6081780006369
        37	     41.000	      0.755	     10.805	      0.074	     -0.074	      0.012	27.5392108289329
        38	     18.000	      0.732	      5.556	      0.097	     -0.097	      0.010	13.9314203464453
        39	     10.000	      0.867	      2.200	      0.136	     -0.136	      0.002	0.818690476190476
        40	     54.000	      0.609	     21.741	      0.066	     -0.066	      0.026	104.702487983591
        41	     50.000	      0.669	     17.240	      0.068	     -0.068	      0.017	63.1642780846375
        42	      3.000	      1.000	      1.000	      0.374	     -0.374	      0.000	0
        43	     60.000	      0.520	     29.300	      0.062	     -0.062	      0.038	272.805002944372
        44	     32.000	      0.829	      6.313	      0.078	     -0.078	      0.006	11.2831591070295
        45	     22.000	      0.853	      4.091	      0.088	     -0.088	      0.003	5.66115254618374
        46	     34.000	      0.783	      8.176	      0.076	     -0.076	      0.009	24.0201173332929
        47	     19.000	      0.655	      7.211	      0.095	     -0.095	      0.006	118.039827002998
        48	      9.000	      0.944	      1.444	      0.145	     -0.145	      0.001	0.176923076923077
        49	     44.000	      0.531	     21.182	      0.064	     -0.064	      0.027	364.93399460698
        50	      9.000	      0.694	      3.444	      0.152	     -0.152	      0.002	4.4844920398448
        51	      4.000	      0.667	      2.000	      0.320	     -0.320	      0.024	6.06200065803638
        52	      9.000	      0.444	      5.444	      0.170	     -0.170	      0.015	232.826085399598
        53	     12.000	      0.970	      1.333	      0.120	     -0.120	      0.000	0.18695652173913
        54	      3.000	      1.000	      1.000	      0.361	     -0.361	      0.000	0
        55	      3.000	      0.667	      1.667	      0.356	     -0.356	      0.001	0.222222222222222
        56	     16.000	      0.550	      7.750	      0.114	     -0.114	      0.016	128.794406890029
        57	     61.000	      0.531	     29.164	      0.062	     -0.062	      0.039	257.752376550532
        58	     17.000	      0.529	      8.529	      0.104	     -0.104	      0.019	142.994000557614
        59	      6.000	      0.867	      1.667	      0.208	     -0.208	      0.001	0.412358882947118
