Id	Degree	Density	EffSize	Constraint	rConstraint	Hierarchy	EgoBetween
         0	     17.000	      0.787	      4.412	      0.094	     -0.094	      0.004	210.553606956238
         1	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
         2	      8.000	      0.429	      5.000	      0.183	     -0.183	      0.020	18.5459543294683
         3	     13.000	      0.936	      1.769	      0.116	     -0.116	      0.001	1.44057971014493
         4	      3.000	      1.000	      1.000	      0.359	     -0.359	      0.000	0
         5	     39.000	      0.664	     13.769	      0.072	     -0.072	      0.019	140.267109337046
         6	      7.000	      0.524	      3.857	      0.169	     -0.169	      0.006	2.25055332770104
         7	     33.000	      0.627	     12.939	      0.075	     -0.075	      0.019	271.919150660454
         8	     73.000	      0.369	     46.452	      0.055	     -0.055	      0.061	1216.22979186886
         9	     13.000	      0.436	      7.769	      0.103	     -0.103	      0.004	97.7051436293957
        10	      4.000	      0.667	      2.000	      0.321	     -0.321	      0.010	6.08200822164377
        11	      0.000	      0.000	      0.000	      0.000	      0.000	9.9999996803E037	0
        12	      3.000	      0.333	      2.333	      0.410	     -0.410	      0.017	1.5675505050505
        13	      9.000	      0.944	      1.444	      0.148	     -0.148	      0.001	0.299145299145299
        14	     76.000	      0.349	     49.842	      0.054	     -0.054	      0.066	1196.15462356908
        15	     44.000	      0.658	     15.727	      0.071	     -0.071	      0.018	69.5826858680012
        16	     21.000	      0.876	      3.476	      0.093	     -0.093	      0.003	5.22693306635853
        17	      4.000	      0.667	      2.000	      0.341	     -0.341	      0.014	1.24651162790698
        18	     53.000	      0.564	     23.679	      0.066	     -0.066	      0.032	418.073002445936
        19	     23.000	      0.787	      5.696	      0.088	     -0.088	      0.007	20.3860741144474
        20	      5.000	      0.900	      1.400	      0.236	     -0.236	      0.000	0.0714285714285714
        21	      8.000	      0.893	      1.750	      0.178	     -0.178	      0.006	2.07222222222222
        22	      2.000	      1.000	      1.000	      0.518	     -0.518	      0.000	0
        23	     11.000	      0.945	      1.545	      0.126	     -0.126	      0.000	0.547692307692308
        24	     49.000	      0.622	     19.163	      0.071	     -0.071	      0.028	95.2102377410438
        25	     13.000	      0.885	      2.385	      0.113	     -0.113	      0.003	3.24989627512447
        26	     48.000	      0.590	     20.250	      0.069	     -0.069	      0.027	181.76974060684
        27	      4.000	      0.833	      1.500	      0.275	     -0.275	      0.000	0.0740740740740741
        28	     16.000	      1.000	      1.000	      0.105	     -0.105	      0.000	0
        29	      5.000	      1.000	      1.000	      0.237	     -0.237	      0.000	0
        30	      2.000	      1.000	      1.000	      0.534	     -0.534	      0.000	0
        31	     23.000	      0.941	      2.304	      0.093	     -0.093	      0.001	2.11632376395534
        32	     30.000	      0.839	      5.667	      0.083	     -0.083	      0.006	13.2623519475297
        33	     24.000	      0.848	      4.500	      0.089	     -0.089	      0.003	6.57492037315394
        34	     60.000	      0.456	     33.067	      0.062	     -0.062	      0.050	565.217280769427
        35	      9.000	      1.000	      1.000	      0.145	     -0.145	      0.000	0
        36	     36.000	      0.762	      9.333	      0.075	     -0.075	      0.010	168.186426184187
        37	     32.000	      0.813	      6.813	      0.083	     -0.083	      0.008	13.0053404007388
        38	     15.000	      0.695	      5.267	      0.106	     -0.106	      0.009	11.7599480623622
        39	      8.000	      0.821	      2.250	      0.161	     -0.161	      0.003	0.929230769230769
        40	     45.000	      0.669	     15.578	      0.073	     -0.073	      0.020	76.3845749179647
        41	     38.000	      0.768	      9.579	      0.077	     -0.077	      0.009	27.9262522157825
        42	      2.000	      1.000	      1.000	      0.521	     -0.521	      0.000	0
        43	     50.000	      0.603	     20.440	      0.070	     -0.070	      0.029	128.513707759821
        44	     23.000	      0.929	      2.565	      0.090	     -0.090	      0.001	1.83320509114358
        45	     11.000	      0.800	      3.000	      0.126	     -0.126	      0.003	5.26850293850294
        46	     27.000	      0.838	      5.222	      0.085	     -0.085	      0.006	12.443422244471
        47	     16.000	      0.575	      7.375	      0.109	     -0.109	      0.013	156.194845827648
        48	      8.000	      1.000	      1.000	      0.161	     -0.161	      0.000	0
        49	     35.000	      0.622	     13.857	      0.074	     -0.074	      0.021	124.153692536983
        50	      5.000	      0.900	      1.400	      0.233	     -0.233	      0.000	0.242403676210675
        51	      3.000	      1.000	      1.000	      0.358	     -0.358	      0.000	0
        52	      7.000	      0.429	      4.429	      0.193	     -0.193	      0.006	212.191057201847
        53	     12.000	      1.000	      1.000	      0.122	     -0.122	      0.000	0
        54	      4.000	      1.000	      1.000	      0.280	     -0.280	      0.000	0
        55	      2.000	      1.000	      1.000	      0.531	     -0.531	      0.001	0
        56	     15.000	      0.514	      7.800	      0.108	     -0.108	      0.010	264.713654494103
        57	     55.000	      0.517	     27.073	      0.066	     -0.066	      0.043	219.524796800514
        58	     15.000	      0.486	      8.200	      0.107	     -0.107	      0.020	64.8889227621711
        59	      7.000	      0.952	      1.286	      0.185	     -0.185	      0.000	0.348148148148148
        60	     11.000	      0.800	      3.000	      0.137	     -0.137	      0.004	3.23835497835498
        61	     24.000	      0.826	      5.000	      0.086	     -0.086	      0.007	23.5573641822348
        62	      5.000	      0.800	      1.800	      0.281	     -0.281	      0.013	6.48944145657331
        63	      6.000	      1.000	      1.000	      0.198	     -0.198	      0.000	0
        64	     13.000	      1.000	      1.000	      0.120	     -0.120	      0.000	0
        65	     58.000	      0.526	     28.000	      0.065	     -0.065	      0.036	247.436953701356
        66	      2.000	      1.000	      1.000	      0.541	     -0.541	      0.002	0
        67	     65.000	      0.436	     37.092	      0.060	     -0.060	      0.057	632.495379362894
        68	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        69	     27.000	      0.598	     11.444	      0.082	     -0.082	      0.022	209.106027375063
        70	     44.000	      0.606	     17.955	      0.069	     -0.069	      0.020	198.467992346641
        71	     59.000	      0.505	     29.712	      0.064	     -0.064	      0.041	284.236515560083
        72	     34.000	      0.512	     17.118	      0.069	     -0.069	      0.026	547.204109958407
        73	     61.000	      0.467	     33.000	      0.063	     -0.063	      0.053	379.367447010729
        74	     31.000	      0.847	      5.581	      0.083	     -0.083	      0.005	10.5392846682891
        75	     30.000	      0.743	      8.467	      0.081	     -0.081	      0.010	24.9778549693021
        76	     46.000	      0.600	     19.000	      0.070	     -0.070	      0.029	143.059375297386
        77	      4.000	      0.333	      3.000	      0.360	     -0.360	      0.059	4.94791240368827
        78	      0.000	      0.000	      0.000	      0.000	      0.000	9.9999996803E037	0
        79	      8.000	      0.857	      2.000	      0.164	     -0.164	      0.001	0.460978835978836
        80	     29.000	      0.761	      7.690	      0.082	     -0.082	      0.012	22.0122782301707
        81	     21.000	      0.800	      5.000	      0.091	     -0.091	      0.011	47.6396067846218
        82	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        83	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        84	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        85	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        86	     36.000	      0.738	     10.167	      0.078	     -0.078	      0.012	34.4445433499128
        87	     63.000	      0.436	     35.952	      0.060	     -0.060	      0.048	689.228590465595
        88	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
        89	     55.000	      0.519	     27.000	      0.064	     -0.064	      0.036	483.980185090736
        90	     46.000	      0.613	     18.435	      0.071	     -0.071	      0.027	130.38312776405
        91	      3.000	      0.333	      2.333	      0.378	     -0.378	      0.004	1.66868870696939
        92	      2.000	      1.000	      1.000	      0.539	     -0.539	      0.002	0
        93	     31.000	      0.751	      8.484	      0.079	     -0.079	      0.009	55.6015065859703
        94	     15.000	      0.981	      1.267	      0.107	     -0.107	      0.000	0.210526315789474
        95	     52.000	      0.544	     24.269	      0.068	     -0.068	      0.039	190.761141650948
        96	     25.000	      0.840	      4.840	      0.087	     -0.087	      0.005	213.859424714207
        97	     32.000	      0.766	      8.250	      0.080	     -0.080	      0.010	30.5996288763876
        98	     19.000	      0.842	      3.842	      0.093	     -0.093	      0.003	15.1648779137407
        99	     39.000	      0.695	     12.590	      0.076	     -0.076	      0.018	49.1795818759803
       100	      2.000	      0.000	      2.000	      0.500	     -0.500	      0.000	0.246511627906977
       101	     24.000	      0.906	      3.167	      0.090	     -0.090	      0.002	2.74692197179611
       102	      8.000	      0.786	      2.500	      0.170	     -0.170	      0.003	1.12379070120489
       103	     10.000	      1.000	      1.000	      0.135	     -0.135	      0.000	0
       104	      6.000	      0.800	      2.000	      0.221	     -0.221	      0.005	1.46824599393859
       105	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
       106	     40.000	      0.645	     14.850	      0.072	     -0.072	      0.021	247.891104051886
       107	      1.000	      0.000	      1.000	      1.000	     -1.000	      1.000	0
