ScenicName	Code	Degrees	BetweenDegrees	ClosedDegrees	Res5	Res6	Res7	Res8	Res9	
黎里古镇	0.0	20.0	0.004069342017269066	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	
黎里公园	1.0	2.0	0.0	0.4268292682926829	0.0	0.0	0.0	0.0	0.0	
香山	2.0	9.0	0.0016228222903493788	0.4861111111111111	0.0	0.0	0.0	0.0	0.0	
静思园	3.0	22.0	0.00016225275835848426	0.546875	0.0	0.0	0.0	0.0	0.0	
震泽	4.0	3.0	0.0	0.45652173913043476	0.0	0.0	0.0	0.0	0.0	
阳澄湖度假	5.0	46.0	0.009658846285632638	0.6325301204819277	0.0	0.0	0.0	0.0	0.0	
镇湖刺绣	6.0	13.0	8.175352912195017e-05	0.5048076923076923	0.0	0.0	0.0	0.0	0.0	
锦溪	7.0	43.0	0.02569626142072403	0.6140350877192983	0.0	0.0	0.0	0.0	0.0	
金鸡湖	8.0	77.0	0.08085978741883797	0.7894736842105263	0.0	0.0	0.0	0.0	0.0	
金凤凰	9.0	13.0	0.007223250621979246	0.5072463768115942	0.0	0.0	0.0	0.0	0.0	
金仓湖	10.0	7.0	0.0008991076272277512	0.47085201793721976	0.0	0.0	0.0	0.0	0.0	
重元寺	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
郑和公园	12.0	6.0	0.000560738414300186	0.46255506607929514	0.0	0.0	0.0	0.0	0.0	
运河公园	13.0	14.0	2.147610843263017e-05	0.5048076923076923	0.0	0.0	0.0	0.0	0.0	
观前街	14.0	80.0	0.07262687665711091	0.8015267175572519	0.0	0.0	0.0	0.0	0.0	
西山	15.0	53.0	0.015800378826948996	0.660377358490566	0.0	0.0	0.0	0.0	0.0	
西园	16.0	33.0	0.0014999474862454098	0.5769230769230769	0.0	0.0	0.0	0.0	0.0	
虞园	17.0	4.0	7.77000777000777e-05	0.40076335877862596	0.0	0.0	0.0	0.0	0.0	
虎丘山	18.0	64.0	0.04581153030681355	0.7094594594594594	0.0	0.0	0.0	0.0	0.0	
藏书镇	19.0	29.0	0.000982951078851852	0.5585106382978723	0.0	0.0	0.0	0.0	0.0	
蒋巷	20.0	5.0	0.0	0.44871794871794873	0.0	0.0	0.0	0.0	0.0	
荷塘月色	21.0	9.0	0.00018315018315018315	0.49295774647887325	0.0	0.0	0.0	0.0	0.0	
苏州湾	22.0	2.0	0.0	0.4375	0.0	0.0	0.0	0.0	0.0	
苏州水上乐园	23.0	18.0	1.077354018530489e-05	0.5276381909547738	0.0	0.0	0.0	0.0	0.0	
苏州博物馆	24.0	61.0	0.01173579600670377	0.695364238410596	0.0	0.0	0.0	0.0	0.0	
苏州公园	25.0	19.0	0.0002929631071934506	0.5276381909547738	0.0	0.0	0.0	0.0	0.0	
苏州乐园	26.0	54.0	0.015482567816808747	0.660377358490566	0.0	0.0	0.0	0.0	0.0	
花溪公园	27.0	6.0	0.0	0.4794520547945205	0.0	0.0	0.0	0.0	0.0	
胥门	28.0	22.0	1.3149243918474686e-05	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	
肖甸湖	29.0	10.0	7.044237813468583e-06	0.4976303317535545	0.0	0.0	0.0	0.0	0.0	
聚沙园	30.0	2.0	0.0	0.39622641509433965	0.0	0.0	0.0	0.0	0.0	
耦园	31.0	33.0	0.0003566466524872929	0.5737704918032787	0.0	0.0	0.0	0.0	0.0	
网师园	32.0	37.0	0.0030992411897914508	0.5898876404494382	0.0	0.0	0.0	0.0	0.0	
穹窿山	33.0	33.0	0.0006486781192749374	0.580110497237569	0.0	0.0	0.0	0.0	0.0	
石路	34.0	69.0	0.04323430667263864	0.7394366197183099	0.0	0.0	0.0	0.0	0.0	
石湖	35.0	13.0	0.0	0.5023923444976076	0.0	0.0	0.0	0.0	0.0	
相城阳澄湖	36.0	41.0	0.006210825599936528	0.6140350877192983	0.0	0.0	0.0	0.0	0.0	
盘门	37.0	42.0	0.00219582027162701	0.6069364161849711	0.0	0.0	0.0	0.0	0.0	
白马涧	38.0	21.0	0.0011540528526925785	0.525	0.0	0.0	0.0	0.0	0.0	
白塘	39.0	10.0	4.573399310241416e-05	0.49295774647887325	0.0	0.0	0.0	0.0	0.0	
留园	40.0	55.0	0.007599292816845825	0.6687898089171974	0.0	0.0	0.0	0.0	0.0	
甪直	41.0	47.0	0.004769081828440545	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	
珍珠宝石城	42.0	4.0	0.0	0.45652173913043476	0.0	0.0	0.0	0.0	0.0	
狮子林	43.0	65.0	0.02301256034911368	0.7191780821917808	0.0	0.0	0.0	0.0	0.0	
灵岩山	44.0	32.0	0.00033151484173631074	0.5675675675675675	0.0	0.0	0.0	0.0	0.0	
渔洋山	45.0	25.0	0.0005479666305981193	0.5440414507772021	0.0	0.0	0.0	0.0	0.0	
沧浪亭	46.0	35.0	0.0016605604550069138	0.5833333333333334	0.0	0.0	0.0	0.0	0.0	
沙溪	47.0	23.0	0.006898690842574668	0.5526315789473685	0.0	0.0	0.0	0.0	0.0	
沙湖	48.0	11.0	1.4640531881911192e-05	0.5	0.0	0.0	0.0	0.0	0.0	
沙家浜	49.0	41.0	0.010875572384537248	0.6104651162790697	0.0	0.0	0.0	0.0	0.0	
永联	50.0	8.0	0.00010522749533738544	0.5023923444976076	0.0	0.0	0.0	0.0	0.0	
槽湖湿地公园	51.0	3.0	0.0	0.44680851063829785	0.0	0.0	0.0	0.0	0.0	
梁丰生态园	52.0	8.0	0.020412231290274963	0.4772727272727273	0.0	0.0	0.0	0.0	0.0	
桐泾公园	53.0	15.0	1.1927848062301842e-05	0.5198019801980198	0.0	0.0	0.0	0.0	0.0	
格林乡村公园	54.0	7.0	1.1446886446886447e-05	0.4646017699115044	0.0	0.0	0.0	0.0	0.0	
树山	55.0	4.0	0.0	0.46255506607929514	0.0	0.0	0.0	0.0	0.0	
杨舍	56.0	19.0	0.024211579939113766	0.5357142857142857	0.0	0.0	0.0	0.0	0.0	
木渎	57.0	62.0	0.014632609892385507	0.7	0.0	0.0	0.0	0.0	0.0	
暨阳湖	58.0	19.0	0.0073195930074194775	0.5303030303030303	0.0	0.0	0.0	0.0	0.0	
昆承湖	59.0	12.0	3.990200068631441e-05	0.5121951219512195	0.0	0.0	0.0	0.0	0.0	
